2011-09-24 07:08:12 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2011-09-24 07:08:12 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2011-09-24 07:08:12 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
2011-09-24 07:08:12 Debug: Notice (8): Undefined variable: logged_in in [C:\xampp\htdocs\dbMiniProject\views\layouts\default.ctp, line 51]
2011-09-24 07:08:58 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2011-09-24 07:08:58 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2011-09-24 07:08:58 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
2011-09-24 07:08:58 Debug: Notice (8): Undefined variable: logged_in in [C:\xampp\htdocs\dbMiniProject\views\layouts\default.ctp, line 51]
2011-09-24 07:24:00 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2011-09-24 07:24:00 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2011-09-24 07:24:00 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
2011-09-24 07:24:00 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2011-09-24 07:24:00 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2011-09-24 07:24:00 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
2011-09-24 07:24:00 Debug: Notice (8): Undefined variable: logged_in in [C:\xampp\htdocs\dbMiniProject\views\layouts\default.ctp, line 51]
2011-09-24 07:24:00 Debug: Notice (8): Undefined variable: logged_in in [C:\xampp\htdocs\dbMiniProject\views\layouts\default.ctp, line 51]
2011-09-24 07:24:00 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
2011-09-24 07:24:00 Debug: Notice (8): Undefined index: controller in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 68]
2011-09-24 07:24:00 Debug: Notice (8): Undefined index: url in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 77]
2011-09-24 07:24:00 Debug: Notice (8): Undefined variable: logged_in in [C:\xampp\htdocs\dbMiniProject\views\layouts\default.ctp, line 51]
2011-09-24 07:24:01 Debug: Notice (8): Undefined index: action in [C:\xampp\htdocs\dbMiniProject\controllers\components\log_util.php, line 67]
